ลำดับ,โครงการ,กลุ่มกิจการ,ประเภทโครงการ,กระทรวงเจ้าสังกัด,หน่วยงานเจ้าของโครงการ,เอกชนคู่สัญญา,ระยะเวลาโครงการ,วันที่ลงนามในสัญญา,วันที่,มูลค่าโครงการ,รูปแบบการจัดสรรกรรมสิทธิ์,รูปแบบสัมปทานหรือค่าตอบแทน,กฎหมายที่เกี่ยวข้อง,แหล่งข้อมูล
38,โครงการพัฒนาท่าเรืออุตสาหกรรมมาบตาพุด ระยะที่ 3,(4) ท่าเรือ การขนส่งทางน้ำ,ท่าเรือ,กระทรวงอุตสาหกรรม,การนิคมอุตสาหกรรมแห่งประเทศไทย,,35 ปี,,,"ประมาณ 55,400 ล้านบาท",BOT,PPP Net Cost,,หนังสือสรุปผู้บริหาร สนข.
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
